Filename,Frame,Time..HMS.,Period,Period.time..HMS.,Length..mm.,Precision..mm.,RMS..mm.,Range..mm.,Direction..deg.,Horz..Dir...deg.,Vert..Dir...deg.,Mid.X..mm.,Mid.Y..mm.,Mid.Z..mm.,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect.Number,Dive.Type,Family,Genus,Species,Code,Number,Stage,Activity,Check.ID,Comment.1,Event.Time.HH.MM.SS
SL_2022_CSEO_Dive_01_08-41-43.000.avi,1440,16:46.0,NA,NA,NA,3.154,3.418,1179.399,13.584,NA,NA,108.16,-259.599,-1145.378,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,1,NA,NA,NA,NO LENGTH - wrong direction,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,4552,18:29.7,NA,NA,116.906,7.19,1.106,2261.643,1.915,11.358,21.909,71.948,-23.162,-2260.379,1,KelliiWood,135,N/A,2022,1,20,Line,crab,box crab,900,900,2,NA,NA,NA,Caparace width taken,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,5217,18:51.9,NA,NA,369.93,20.758,0.238,2466.059,24.441,22.099,12.098,999.203,206.684,-2245.066,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,3,NA,NA,NA,,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,5392,18:57.7,NA,NA,373.076,25.769,3.414,2524.435,16.393,34.576,16.469,-653.196,284.533,-2421.807,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,4,NA,NA,NA,,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,6479,19:34.0,NA,NA,NA,8.174,1.507,1897.405,22.961,NA,NA,-729.184,120.142,-1747.571,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,5,NA,NA,NA,NO LENGTH - wrong direction,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,7857,20:19.9,NA,NA,NA,11.028,0.258,2227.119,14.728,NA,NA,-520.054,215.247,-2154.825,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,6,NA,NA,NA,NO LENGTH - wrong direction,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,10057,21:33.2,NA,NA,NA,10.131,2.509,2156.999,29.034,NA,NA,-1037.715,130.495,-1886.468,1,KelliiWood,135,N/A,2022,1,20,Line,cod,Pacific tomcod,250,250,7,NA,NA,NA,,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,10278,21:40.6,NA,NA,NA,12.497,0.881,2300.314,20.542,NA,NA,-651.992,467.2,-2155.939,1,KelliiWood,135,N/A,2022,1,20,Line,cod,Pacific tomcod,250,250,8,NA,NA,NA,,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,11262,22:13.4,NA,NA,NA,9.408,1.164,2070.584,26.918,NA,NA,-936.442,34.959,-1846.394,1,KelliiWood,135,N/A,2022,1,20,Line,cod,Pacific tomcod,250,250,9,NA,NA,NA,,NA
SL_2022_CSEO_Dive_01_08-41-43.000.avi,12712,23:01.7,NA,NA,NA,13.054,2.75,2398.459,25.123,NA,NA,-994.794,208.751,-2172.421,1,KelliiWood,135,N/A,2022,1,20,Line,halibut,halibut,200,200,10,NA,NA,NA,NO LENGTH - wrong direction,NA
