Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
34,2022,20220074,VNI,3088,15,2C,162,Sitka,Standard Grid,7-Jun-22,Y,,56.833,-132.8607,112,56.8342,-132.7938,114,56.8335,-132.8272,113,56.833,-132.833,10,15,164,93,8,8,99,7.95,451,56.8368,-132.7995,207,5.4143,190,7.899,32.494,,3.3022,,
35,2022,20220075,VNI,3091,16,2C,162,Sitka,Standard Grid,8-Jun-22,Y,,57.0202,-134.3483,187,56.9813,-134.3468,189,57.0008,-134.3475,191,57,-134.35,53,55,889,374,8,8,99,7.95,467,57.0205,-134.3503,340,5.3149,321,7.837,33.787,,1.81,,
36,2022,20220076,VNI,3227,17,2C,162,Sitka,Standard Grid,8-Jun-22,Y,,56.9797,-134.0463,59,57.0192,-134.0542,65,56.9993,-134.0503,46,57,-134.044,32,69,774,405,8,8,100,8.03,583,57.0148,-134.0612,93,6.2599,79,8.225,32.074,,5.3331,,
37,2022,20220077,VNI,3095,18,2C,162,Sitka,Standard Grid,8-Jun-22,Y,,57.1675,-134.0178,167,57.168,-134.09,138,57.1678,-134.0538,155,57.167,-134.05,90,56,"1,652",403,8,8,99,7.95,736,57.1675,-134.0865,254,5.4091,237,7.885,33.575,,2.1986,,
38,2022,20220078,VNI,3094,19,2C,162,Sitka,Standard Grid,9-Jun-22,Y,,57.1478,-133.7458,129,57.189,-133.7482,190,57.1685,-133.747,169,57.167,-133.75,93,43,"1,761",343,8,8,99,7.95,493,57.1497,-133.74969,236,5.4787,218,7.906,33.218,,2.8126,,
39,2022,20220079,VNI,3100,20,2C,163,Sitka,Standard Grid,9-Jun-22,Y,,57.3145,-133.7463,205,57.3537,-133.7485,235,57.3342,-133.7473,194,57.333,-133.75,133,47,"2,163",369,8,8,99,7.95,656,57.3107,-133.7495,380,5.4655,362,7.882,33.38,,2.4673,,
40,2022,20220080,VNI,3099,21,2C,163,Sitka,Standard Grid,9-Jun-22,Y,,57.3338,-133.4738,83,57.3325,-133.4152,67,57.3332,-133.4445,77,57.333,-133.433,27,23,631,175,8,8,99,7.95,754,57.3353,-133.48151,155,5.432,139,7.935,32.593,,3.5096,,
41,2022,20220081,VNI,3104,22,2C,163,Sitka,Standard Grid,10-Jun-22,Y,,57.4985,-133.7188,127,57.501,-133.7893,136,57.4997,-133.7542,129,57.5,-133.75,54,84,937,631,8,8,99,7.95,450,57.4997,-133.7188,227,5.4418,213,7.896,33.183,,2.6785,,
42,2022,20220082,VNI,3234,23,2C,173,Sitka,Standard Grid,10-Jun-22,Y,,57.6545,-133.9962,60,57.6948,-134.0048,134,57.6747,-134.0005,103,57.666,-134.061,68,84,"1,352",612,8,8,99,7.95,630,57.6967,-134.0045,245,5.4389,228,7.905,33.182,,2.6532,,
43,2022,20220083,VNI,3107,24,2C,173,Sitka,Standard Grid,11-Jun-22,Y,,57.6505,-133.7478,189,57.6898,-133.7488,172,57.6702,-133.7483,177,57.667,-133.75,72,99,"1,304",747,8,8,99,7.95,455,57.6913,-133.7428,313,5.4387,295,7.877,32.778,,2.8107,,
44,2022,20220084,VNI,3236,25,2C,173,Sitka,Standard Grid,11-Jun-22,Y,,57.8152,-133.7585,164,57.8537,-133.7737,98,57.8345,-133.7662,129,57.833,-133.75,27,23,601,158,8,8,99,7.95,639,57.8493,-133.77679,326,5.4908,308,7.839,32.768,,2.5723,,
45,2022,20220085,VNI,3238,26,2C,173,Sitka,Standard Grid,12-Jun-22,Y,,58.0003,-133.7257,70,57.9997,-133.799,121,58,-133.7623,97,58,-133.752,17,4,521,27,8,8,99,7.95,413,57.9978,-133.72929,143,5.4479,126,7.785,32.472,,2.6411,,
46,2022,20220086,VNI,3112,27,2C,173,Sitka,Standard Grid,12-Jun-22,Y,,57.9822,-134.0665,73,58.022,-134.0688,135,58.002,-134.0677,116,58,-134.067,7,14,123,123,8,8,99,7.95,530,57.9812,-134.0573,170,5.5104,163,7.79,32.519,,2.4329,,
47,2022,20220105,STN,4175,1,3A,250,Seward,Standard Grid,29-May-22,Y,,59.3338,-150.2245,82,59.3332,-150.1518,90,59.3335,-150.1882,87,59.333,-150.183,6,9,104,69,8,8,99,7.95,463,59.334,-150.15469,163,5.2942,151,7.988,32.148,,,,
48,2022,20220106,STN,4174,2,3A,250,Seward,Standard Grid,29-May-22,Y,,59.3532,-149.8492,95,59.3123,-149.8518,107,59.3327,-149.8505,103,59.333,-149.85,11,12,204,102,8,8,100,8.03,599,59.3523,-149.8457,176,5.3661,160,8.002,32.134,,,,
49,2022,20220107,STN,4166,3,3A,250,Seward,Standard Grid,30-May-22,Y,,59.1837,-149.8512,74,59.143,-149.8468,77,59.1633,-149.849,74,59.167,-149.85,7,3,112,25,8,8,100,8.03,592,59.1412,-149.8515,143,5.4364,132,8.036,32.153,,,,
50,2022,20220108,STN,4165,4,3A,250,Seward,Standard Grid,30-May-22,Y,,59.1845,-149.5423,83,59.1438,-149.5118,92,59.1642,-149.527,87,59.167,-149.533,14,16,195,116,8,8,99,7.95,695,59.1823,-149.5435,150,5.5397,141,7.94,32.692,,,,
51,2022,20220109,STN,4158,5,3A,250,Seward,Standard Grid,30-May-22,Y,,59.0173,-149.5357,125,58.9822,-149.5367,131,58.9998,-149.5362,128,59,-149.533,17,2,256,14,8,8,99,7.95,784,59.0197,-149.539,229,5.6463,215,7.714,33.687,,,,
52,2022,20220110,STN,4157,6,3A,250,Seward,Standard Grid,31-May-22,Y,,59.0168,-149.1993,100,58.9798,-149.2012,120,58.9983,-149.2002,114,59,-149.2,23,9,382,70,8,8,100,8.03,501,59.0152,-149.202,185,5.6701,173,7.758,33.518,,,,
53,2022,20220111,STN,4152,7,3A,250,Seward,Standard Grid,31-May-22,Y,,58.853,-149.2027,115,58.8162,-149.197,109,58.8347,-149.1998,113,58.833,-149.2,15,5,225,45,8,8,100,8.03,594,58.8192,-149.1918,199,5.3876,188,7.687,33.647,,,,
54,2022,20220112,STN,4151,8,3A,250,Seward,Standard Grid,1-Jun-22,Y,,58.816,-148.8797,140,58.851,-148.8847,148,58.8335,-148.8822,139,58.833,-148.883,22,10,324,78,8,8,99,7.95,570,58.8638,-148.892,258,5.1262,245,7.639,33.79,,,,
55,2022,20220113,STN,4156,9,3A,250,Seward,Standard Grid,1-Jun-22,Y,,59.0182,-148.8803,111,58.9798,-148.8823,123,58.999,-148.8813,117,59,-148.883,45,12,662,89,8,8,100,8.03,750,59.0177,-148.88181,207,5.6359,191,7.699,33.552,,,,
56,2022,20220114,STN,4155,10,3A,250,Seward,Standard Grid,2-Jun-22,Y,,59.0178,-148.5672,134,58.9807,-148.5618,128,58.9992,-148.5645,133,59,-148.567,6,4,82,28,8,8,100,8.03,607,59.017,-148.5688,243,5.2531,230,7.625,33.795,,,,
57,2022,20220115,STN,4154,11,3A,240,Seward,Standard Grid,2-Jun-22,N,DS,59.0202,-148.2358,90,58.9863,-148.2308,133,59.0033,-148.2333,111,59,-148.233,10,13,174,103,8,8,100,8.03,771,59.0198,-148.239,161,5.2674,150,7.65,33.774,,,,
58,2022,20220116,STN,4547,12,3A,240,Seward,Standard Grid,5-Jun-22,Y,,60.0163,-148.5377,38,59.9775,-148.5272,66,59.9968,-148.5325,52,60,-148.533,8,11,232,89,8,8,99,7.95,447,59.9762,-148.5257,121,5.5723,114,7.927,32.015,,,,
59,2022,20220117,STN,4548,13,3A,240,Seward,Standard Grid,5-Jun-22,Y,,59.9992,-148.2383,61,60.0095,-148.1652,17,60.0043,-148.2017,58,60,-148.2,11,8,355,64,8,8,101,8.11,619,60.004,-148.1627,31,8.1465,23,8.213,31.217,,,,
60,2022,20220118,STN,4190,14,3A,240,Seward,Standard Grid,6-Jun-22,Y,,59.8323,-148.2332,48,59.833,-148.1565,68,59.8327,-148.1948,53,59.833,-148.2,0,5,0,35,8,8,99,7.95,440,59.8337,-148.158,121,5.6149,111,7.944,32.102,,,,
61,2022,20220119,STN,4185,15,3A,240,Seward,Standard Grid,6-Jun-22,Y,,59.6877,-148.219,54,59.6493,-148.2148,87,59.6685,-148.2168,67,59.667,-148.217,1,7,12,42,8,8,99,7.95,610,59.651,-148.2178,155,5.9029,147,7.956,32.433,,,,
62,2022,20220120,STN,4186,16,3A,240,Seward,Standard Grid,7-Jun-22,Y,,59.6667,-148.5025,116,59.666,-148.584,112,59.6663,-148.5433,115,59.667,-148.533,3,1,58,8,8,8,99,7.95,529,59.6682,-148.5907,199,5.7841,185,7.7,33.413,,,,
63,2022,20220121,STN,4191,17,3A,240,Seward,Standard Grid,7-Jun-22,Y,,59.814,-148.534,80,59.8535,-148.5323,74,59.8338,-148.5332,76,59.833,-148.533,2,1,41,8,8,8,99,7.95,658,59.8517,-148.536,132,5.8066,118,8.01,32.155,,,,
64,2022,20220122,STN,4192,18,3A,240,Seward,Standard Grid,7-Jun-22,Y,,59.8317,-148.8225,102,59.8342,-148.9017,83,59.8328,-148.8622,95,59.833,-148.867,2,7,43,46,8,8,99,7.95,783,59.8327,-148.9015,148,5.6534,142,7.943,32.443,,,,
65,2022,20220123,STN,4187,19,3A,250,Seward,Standard Grid,8-Jun-22,Y,,59.6508,-148.8658,98,59.6883,-148.8663,99,59.6697,-148.8662,98,59.667,-148.867,1,1,11,8,8,8,98,7.87,513,59.652,-148.8698,177,5.7556,166,7.77,33.121,,,,
66,2022,20220124,STN,4193,20,3A,250,Seward,Standard Grid,8-Jun-22,Y,,59.8148,-149.2005,72,59.8523,-149.1992,83,59.8337,-149.1998,78,59.833,-149.2,34,32,587,255,8,8,99,7.95,641,59.8123,-149.196,139,5.9161,125,8.045,32.215,,,,
67,2022,20220125,STN,4546,21,3A,250,Seward,Standard Grid,11-Jun-22,Y,,59.6805,-149.8703,114,59.6432,-149.8563,106,59.6618,-149.8633,114,59.667,-149.867,8,5,120,42,8,8,100,8.03,550,59.6797,-149.87151,207,5.5382,196,7.838,32.781,,,,
68,2022,20220126,STN,4182,22,3A,250,Seward,Standard Grid,11-Jun-22,Y,,59.5228,-149.866,104,59.4828,-149.8667,109,59.5028,-149.8663,108,59.5,-149.867,16,8,258,66,8,8,99,7.95,724,59.486,-149.8707,199,5.6037,185,7.844,32.866,,,,
69,2022,20220127,STN,4181,23,3A,250,Seward,Standard Grid,11-Jun-22,Y,,59.5175,-149.533,56,59.4777,-149.5338,57,59.4977,-149.5335,57,59.5,-149.533,13,101,273,631,8,8,100,8.03,872,59.5165,-149.535,104,6.22,89,8.12,32.169,,,,
70,2022,20220128,STN,4189,24,3A,250,Seward,Standard Grid,12-Jun-22,Y,,59.6853,-149.4845,122,59.6452,-149.4787,147,59.6652,-149.4815,137,59.667,-149.533,2,3,51,23,8,8,99,7.95,521,59.6797,-149.4805,240,5.6789,218,7.809,33.042,,,,
71,2022,20220129,STN,4188,25,3A,250,Seward,Standard Grid,12-Jun-22,Y,,59.6857,-149.213,116,59.6487,-149.1955,111,59.6672,-149.2043,114,59.667,-149.2,41,8,735,63,8,8,100,8.03,660,59.6847,-149.20599,212,5.7098,196,7.779,33.092,,,,
72,2022,20220130,STN,4180,26,3A,240,Seward,Standard Grid,12-Jun-22,Y,,59.5243,-149.1992,121,59.4823,-149.2012,132,59.5033,-149.2002,125,59.5,-149.2,22,4,446,38,8,8,100,8.03,797,59.486,-149.19769,240,5.6282,225,7.724,33.273,,,,
73,2022,20220131,STN,4178,27,3A,240,Seward,Standard Grid,13-Jun-22,Y,,59.5175,-148.5517,50,59.4762,-148.5453,57,59.4968,-148.5485,53,59.5,-148.55,8,79,142,506,8,8,99,7.95,459,59.52,-148.5528,91,5.9808,78,8.057,32.314,,,,
74,2022,20220132,STN,4170,28,3A,240,Seward,Standard Grid,13-Jun-22,Y,,59.3512,-148.5518,49,59.3092,-148.5408,52,59.3302,-148.5463,51,59.333,-148.55,24,25,558,171,8,8,100,8.03,612,59.3125,-148.5477,102,5.9242,84,8.066,32.178,,,,
75,2022,20220133,STN,4176,29,3A,240,Seward,Standard Grid,14-Jun-22,N,GI,59.4995,-147.8553,58,59.501,-147.9382,75,59.5003,-147.8967,64,59.5,-147.883,3,2,58,18,8,2,99,1.99,383,59.5005,-147.85699,108,5.9521,93,8.064,32.083,,,,
76,2022,20220134,STN,4168,30,3A,240,Seward,Standard Grid,14-Jun-22,N,ST,59.3148,-147.9007,104,59.3563,-147.9002,97,59.3355,-147.9003,100,59.333,-147.9,0,0,0,0,8,8,98,7.87,"1,748",,,,,,,,,,,
77,2022,20220135,PEN,4089,20,3A,220,Yakutat,Standard Grid,10-Jun-22,Y,,59.6812,-143.9515,65,59.6472,-143.9473,78,59.6642,-143.9495,71,59.667,-143.95,3,0,56,0,8,8,99,7.95,455,,,,,,,,,,,
78,2022,20220136,PEN,4508,21,3A,220,Yakutat,Standard Grid,10-Jun-22,Y,,59.4927,-143.6172,240,59.5277,-143.6185,104,59.5102,-143.6178,143,59.5,-143.617,65,18,"1,390",130,8,8,99,7.95,578,,,,,,,,,,,
79,2022,20220137,PEN,4088,22,3A,220,Yakutat,Standard Grid,10-Jun-22,Y,,59.6475,-143.617,75,59.6827,-143.6193,87,59.6652,-143.6182,79,59.667,-143.617,5,4,82,31,8,8,100,8.03,719,,,,,,,,,,,
80,2022,20220138,PEN,4086,23,3A,220,Yakutat,Standard Grid,11-Jun-22,Y,,59.6498,-142.9652,132,59.6863,-142.9687,102,59.6682,-142.967,111,59.667,-142.967,11,6,272,39,8,8,99,7.95,491,,,,,,,,,,,
81,2022,20220139,PEN,4095,24,3A,220,Yakutat,Standard Grid,11-Jun-22,Y,,59.815,-142.966,96,59.849,-142.9663,93,59.832,-142.9662,93,59.833,-142.967,1,0,21,0,8,8,99,7.95,582,,,,,,,,,,,
82,2022,20220140,PEN,4085,25,3A,210,Yakutat,Standard Grid,11-Jun-22,Y,,59.6668,-142.5968,195,59.6668,-142.6665,219,59.6668,-142.6317,212,59.667,-142.633,4,3,104,23,8,8,100,8.03,688,,,,,,,,,,,
83,2022,20220141,PEN,4511,26,3A,210,Yakutat,Standard Grid,12-Jun-22,Y,,59.4815,-142.2993,114,59.518,-142.2982,103,59.4998,-142.2987,105,59.5,-142.3,50,60,953,410,8,8,99,7.95,529,,,,,,,,,,,
84,2022,20220142,PEN,4078,27,3A,210,Yakutat,Standard Grid,12-Jun-22,Y,,59.4797,-141.9673,98,59.5155,-141.9687,96,59.4977,-141.968,97,59.5,-141.967,12,8,211,54,8,8,100,8.03,633,,,,,,,,,,,
85,2022,20220143,PEN,4071,28,3A,210,Yakutat,Standard Grid,12-Jun-22,Y,,59.3327,-141.937,112,59.3327,-142.0025,121,59.3327,-141.9698,119,59.333,-141.967,51,47,897,301,8,8,99,7.95,712,,,,,,,,,,,
86,2022,20220144,PEN,4070,29,3A,210,Yakutat,Standard Grid,13-Jun-22,Y,,59.3127,-141.6317,105,59.3498,-141.6342,102,59.3313,-141.6328,103,59.333,-141.633,46,53,904,334,8,8,99,7.95,503,,,,,,,,,,,
87,2022,20220145,PEN,4076,30,3A,210,Yakutat,Standard Grid,13-Jun-22,Y,,59.4792,-141.3062,179,59.5158,-141.3165,183,59.4975,-141.3113,182,59.5,-141.317,2,0,27,0,8,8,99,7.95,610,,,,,,,,,,,
88,2022,20220146,PEN,4069,31,3A,210,Yakutat,Standard Grid,13-Jun-22,Y,,59.3337,-141.2718,179,59.3337,-141.338,183,59.3337,-141.305,182,59.333,-141.3,17,2,326,10,8,8,100,8.03,742,,,,,,,,,,,
89,2022,20220147,PEN,4062,32,3A,200,Yakutat,Standard Grid,14-Jun-22,Y,,59.1493,-141.2988,177,59.1848,-141.3013,191,59.1672,-141.3002,185,59.167,-141.3,7,5,116,27,8,8,99,7.95,482,,,,,,,,,,,
90,2022,20220148,PEN,4061,33,3A,200,Yakutat,Standard Grid,14-Jun-22,Y,,59.184,-140.9852,96,59.1485,-140.9825,100,59.1662,-140.9838,97,59.167,-140.983,58,134,"1,320",914,8,8,100,8.03,605,,,,,,,,,,,
91,2022,20220149,PEN,4056,34,3A,200,Yakutat,Standard Grid,14-Jun-22,Y,,58.9843,-140.9818,106,59.0212,-140.983,103,59.0028,-140.9823,104,59,-140.983,31,114,650,662,8,8,100,8.03,690,,,,,,,,,,,
92,2022,20220150,PEN,4505,35,3A,200,Yakutat,Standard Grid,15-Jun-22,N,DS,58.8503,-140.9827,237,58.8143,-140.976,256,58.8323,-140.9793,243,58.834,-140.983,1,0,18,0,8,8,100,8.03,490,,,,,,,,,,,
93,2022,20220151,PEN,4052,36,3A,200,Yakutat,Standard Grid,15-Jun-22,Y,,58.8492,-140.6675,105,58.8137,-140.6652,106,58.8313,-140.6663,105,58.833,-140.667,46,89,"1,106",596,8,8,100,8.03,600,,,,,,,,,,,
94,2022,20220152,PEN,4503,37,3A,200,Yakutat,Standard Grid,15-Jun-22,Y,,58.6667,-140.6667,349,58.7067,-140.6685,115,58.6867,-140.6677,161,58.667,-140.667,45,42,837,283,8,8,99,7.95,714,,,,,,,,,,,
95,2022,20220153,PEN,4504,38,3A,200,Yakutat,Standard Grid,16-Jun-22,N,DS,58.6975,-140.3352,112,58.6568,-140.3362,157,58.6772,-140.3357,126,58.667,-140.333,22,17,382,116,8,8,99,7.95,501,,,,,,,,,,,
