Gear,Sex,age,weight
Jig,Female,17,1.75
Jig,Female,18,2.175
Jig,Female,19,2.2
Jig,Female,22,2.54
Jig,Female,23,2.925
Jig,Female,24,2.65
Jig,Female,25,2.5
Jig,Female,28,2.65
Jig,Female,30,2.5
Jig,Female,31,4.075
Jig,Female,32,4.05
Jig,Female,33,3.5
Jig,Female,35,3.55
Jig,Female,36,4
Jig,Female,38,4.5
Jig,Female,40,4.6
Jig,Female,41,3.95
Jig,Female,43,4.0375
Jig,Female,44,2.825
Jig,Female,45,5.7
Jig,Female,47,4.425
Jig,Female,49,3.95
Jig,Female,50,4.6
Jig,Female,52,3.575
Jig,Female,54,5.1667
Jig,Female,55,5.65
Jig,Female,59,6
Jig,Female,65,6.45
Jig,Female,69,4.5
Jig,Female,75,5.45
Jig,Female,87,6.85
Jig,Female,100,7.75
Jig,Male,13,1.25
Jig,Male,14,1.05
Jig,Male,16,1.05
Jig,Male,17,1.975
Jig,Male,19,2.06
Jig,Male,20,1.85
Jig,Male,21,2.35
Jig,Male,22,2.675
Jig,Male,24,2.6
Jig,Male,25,3.375
Jig,Male,26,1.7
Jig,Male,27,2.9
Jig,Male,28,4.4
Jig,Male,29,3.675
Jig,Male,31,3.45
Jig,Male,33,4.9
Jig,Male,41,5.05
Jig,Male,42,2.55
Jig,Male,43,4.5875
Jig,Male,44,4.125
Jig,Male,45,6
Jig,Male,46,4.575
Jig,Male,47,5.5
Jig,Male,48,3.825
Jig,Male,50,4.8667
Jig,Male,51,4.9
Jig,Male,65,3.3
Longline,Combined,8,0.77
Longline,Combined,9,1.225
Longline,Combined,10,0.805
Longline,Combined,11,1.1162
Longline,Combined,12,1.0753
Longline,Combined,13,1.2567
Longline,Combined,14,1.3406
Longline,Combined,15,1.4287
Longline,Combined,16,1.618
Longline,Combined,17,1.7903
Longline,Combined,18,1.8568
Longline,Combined,19,1.9711
Longline,Combined,20,2.1129
Longline,Combined,21,2.2277
Longline,Combined,22,2.422
Longline,Combined,23,2.5692
Longline,Combined,24,2.6872
Longline,Combined,25,2.8399
Longline,Combined,26,2.8986
Longline,Combined,27,3.0402
Longline,Combined,28,3.0786
Longline,Combined,29,3.2051
Longline,Combined,30,3.2289
Longline,Combined,31,3.3064
Longline,Combined,32,3.4253
Longline,Combined,33,3.5082
Longline,Combined,34,3.5708
Longline,Combined,35,3.6297
Longline,Combined,36,3.7337
Longline,Combined,37,3.8312
Longline,Combined,38,3.8509
Longline,Combined,39,3.9857
Longline,Combined,40,4.0667
Longline,Combined,41,4.1547
Longline,Combined,42,4.2137
Longline,Combined,43,4.1928
Longline,Combined,44,4.2776
Longline,Combined,45,4.3361
Longline,Combined,46,4.3575
Longline,Combined,47,4.3803
Longline,Combined,48,4.4677
Longline,Combined,49,4.4871
Longline,Combined,50,4.5632
Longline,Combined,51,4.7357
Longline,Combined,52,4.7272
Longline,Combined,53,4.7587
Longline,Combined,54,4.7557
Longline,Combined,55,4.8926
Longline,Combined,56,4.8673
Longline,Combined,57,4.702
Longline,Combined,58,4.9596
Longline,Combined,59,4.9048
Longline,Combined,60,5.0779
Longline,Combined,61,5.1997
Longline,Combined,62,5.0703
Longline,Combined,63,5.3269
Longline,Combined,64,5.3116
Longline,Combined,65,5.3542
Longline,Combined,66,5.2931
Longline,Combined,67,5.2152
Longline,Combined,68,5.2231
Longline,Combined,69,5.2852
Longline,Combined,70,5.5164
Longline,Combined,71,5.5105
Longline,Combined,72,5.2329
Longline,Combined,73,5.4108
Longline,Combined,74,5.2296
Longline,Combined,75,5.468
Longline,Combined,76,5.7876
Longline,Combined,77,5.5652
Longline,Combined,78,5.2403
Longline,Combined,79,5.211
Longline,Combined,80,5.9286
Longline,Combined,81,5.8087
Longline,Combined,82,6.0143
Longline,Combined,83,6.1304
Longline,Combined,84,6.21
Longline,Combined,85,5.743
Longline,Combined,86,5.69
Longline,Combined,87,6.1531
Longline,Combined,88,6.0478
Longline,Combined,89,6.1465
Longline,Combined,90,5.6497
Longline,Combined,91,5.9765
Longline,Combined,92,5.5312
Longline,Combined,93,6.4872
Longline,Combined,94,6.5257
Longline,Combined,95,6.3924
Longline,Combined,96,5.9142
Longline,Combined,97,5.8192
Longline,Combined,98,5.9736
Longline,Combined,99,6.082
Longline,Combined,100,6.1775
Jig,Combined,10,1
Jig,Combined,13,1.25
Jig,Combined,14,1.05
Jig,Combined,15,1.15
Jig,Combined,16,1.15
Jig,Combined,17,1.9
Jig,Combined,18,2.175
Jig,Combined,19,2.1
Jig,Combined,20,1.85
Jig,Combined,21,2.35
Jig,Combined,22,2.5786
Jig,Combined,23,2.925
Jig,Combined,24,2.625
Jig,Combined,25,3.0833
Jig,Combined,26,1.7
Jig,Combined,27,2.9
Jig,Combined,28,3.525
Jig,Combined,29,3.675
Jig,Combined,30,2.5
Jig,Combined,31,3.7
Jig,Combined,32,4.05
Jig,Combined,33,4.2
Jig,Combined,35,3.55
Jig,Combined,36,4
Jig,Combined,38,4.5
Jig,Combined,40,4.6
Jig,Combined,41,4.3167
Jig,Combined,42,2.55
Jig,Combined,43,4.3125
Jig,Combined,44,3.6917
Jig,Combined,45,5.85
Jig,Combined,46,4.575
Jig,Combined,47,4.7833
Jig,Combined,48,3.825
Jig,Combined,49,3.95
Jig,Combined,50,4.8
Jig,Combined,51,4.9
Jig,Combined,52,3.575
Jig,Combined,54,5.1667
Jig,Combined,55,5.65
Jig,Combined,59,6
Jig,Combined,65,4.875
Jig,Combined,69,4.5
Jig,Combined,75,5.45
Jig,Combined,87,6.85
Jig,Combined,100,7.75
